show_id,title,movie_duration(min),tv_show_duration(temp)
s487,Ratchet and Clank,94.0,
s488,The Cook of Castamar,,1.0
s489,Virgin River,,3.0
s490,Back to Q82,104.0,
s491,Elize Matsunaga: Once Upon a Crime,,1.0
s492,Home Again,97.0,
s493,Midnight Sun,91.0,
s494,RESIDENT EVIL: Infinite Darkness,,1.0
s495,Rock the Kasbah,106.0,
s496,Awon Boyz,38.0,
s497,Brick Mansions,90.0,
s498,Cat People,,1.0
s499,Clash,87.0,
s500,Dogs,,2.0
s501,Major Grom: Plague Doctor,138.0,
s502,Mama Drama,105.0,
s503,Tango With Me,104.0,
s504,The Mire,,2.0
s505,The War Next-door,,1.0
s506,Therapy,85.0,
s507,This Little Love Of Mine,92.0,
s508,Three Thieves,108.0,
s509,A Land Imagined,95.0,
s510,Ask the StoryBots,,3.0
s511,Between,,2.0
s512,Chelsea,,2.0
s513,Code Lyoko,,4.0
s514,Colony,,3.0
s515,Cuckoo,,5.0
s516,Derry Girls,,2.0
s517,Girl from Nowhere,,2.0
s518,Good Morning Call,,2.0
s519,Har Kisse Ke Hisse: Kaamyaab,105.0,
s520,I AM A KILLER,,2.0
s521,I Think You Should Leave with Tim Robinson,,2.0
s522,Kim's Convenience,,5.0
s523,Larva,,3.0
s524,Marcella,,3.0
s525,Midnight Diner: Tokyo Stories,,2.0
s526,My Little Pony: Friendship Is Magic,,8.0
s527,Orange Is the New Black,,7.0
s528,Puffin Rock,,2.0
s529,Rehmataan,116.0,
s530,Return of the Prodigal Son,124.0,
s531,Richie Rich,,2.0
s532,Rise: Ini Kalilah,101.0,
s533,Scream,,3.0
s534,Shtisel,,3.0
s535,Si Doel the Movie 2,95.0,
s536,Some Assembly Required,,2.0
s537,Tales by Light,,3.0
s538,Terrace House: Opening New Doors,,6.0
s539,The A List,,2.0
s540,The New Legends of Monkey,,2.0
s541,The Worst Witch,,4.0
s542,Truckbhar Swapna,128.0,
s543,Ujala,143.0,
s544,Undercover,,2.0
s545,Workin' Moms,,5.0
s546,YooHoo to the Rescue,,3.0
s547,You Are My Spring,,1.0
s548,We the People,,1.0
s549,Grey's Anatomy,,17.0
s550,Big Timber,,1.0
s551,Fear Street Part 1: 1994,107.0,
s552,Haseen Dillruba,136.0,
s553,Holiday on Mars,94.0,
s554,Mortel,,2.0
s555,RattleSnake - The Ahanna Story,136.0,
s556,Snowpiercer,126.0,
s557,The 8th Night,116.0,
s558,Winchester,100.0,
s559,6 Bullets,115.0,
s560,Air Force One,125.0,
s561,Audible,39.0,
s562,Austin Powers in Goldmember,94.0,
s563,Austin Powers: International Man of Mystery,90.0,
s564,Austin Powers: The Spy Who Shagged Me,95.0,
s565,Boogie Nights,155.0,
s566,Bureau of Magical Things,,1.0
s567,Charlie's Angels,98.0,
s568,Congo,108.0,
s569,Dennis the Menace,96.0,
s570,Dreamy Eyes,117.0,
s571,Dynasty Warriors,118.0,
s572,Generation 56k,,1.0
s573,Hampstead,103.0,
s574,Kung Fu Panda,94.0,
s575,Kung Fu Panda 2,93.0,
s576,Life as We Know It,115.0,
s577,Mary Magdalene,120.0,
s578,Masameer County,,1.0
s579,Memoirs of a Geisha,145.0,
s580,Midnight Run,126.0,
s581,Mobile Suit Gundam Hathaway,96.0,
s582,Mortal Kombat,101.0,
s583,Mother's Day,118.0,
s584,No Strings Attached,109.0,
s585,Not Another Teen Movie,89.0,
s586,Ophelia,106.0,
s587,Pet Sematary 2,101.0,
